                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
979                                     Elm Brook                 Shawsheen        1.000000       92.857143             0
1072                                  Crane River             North Coastal        1.000000      100.000000             0
547                               Purgatory Brook                  Neponset        1.000000      100.000000             0
1057                            Wrights Reservoir                   Millers        1.000000      100.000000             0
556                                 Quaboag River                  Chicopee        1.000000       50.000000             1
559                                 Buttery Brook               Connecticut        1.000000      100.000000             0
813                             Unnamed Tributary          Concord (SuAsCo)        1.000000      100.000000             0
964                                Cummings Brook                    Mystic        1.000000      100.000000             0
922                              Natty Pond Brook                  Chicopee        1.000000      100.000000             0
962                       West Branch Fever Brook                  Chicopee        1.000000      100.000000             0
952                                Aberjona River                    Mystic        1.000000      100.000000             0
942                       East Branch Fever Brook                  Chicopee        1.000000      100.000000             0
617                                    Town Brook           Weymouth & Weir        1.000000      100.000000             0
618                                 Furnace Brook           Weymouth & Weir        1.000000      100.000000             0
936                                Asnacomet Pond                  Chicopee        1.000000       78.571429             3
239                                 Arnolds Brook                Blackstone        1.000000       87.500000             0
1319                                 Powwow River                 Merrimack        1.000000      100.000000             0
24                                 Quashnet River                  Cape Cod        1.000000      100.000000             0
187                                 Herring River                  Cape Cod        1.000000       87.500000             0
110                                     Rocky Run  Narragansett Bay (Shore)        1.000000      100.000000             0
64                                  Herring River                  Cape Cod        1.000000      100.000000             0
103                             Rattlesnake Brook                   Taunton        1.000000      100.000000             0
60                              Unnamed Tributary              Buzzards Bay        1.000000       66.666667             0
87                                    Scargo Lake                  Cape Cod        1.000000       60.000000             4
96                                     Fall Brook                   Taunton        1.000000      150.000000             0
31                               Buttonwood Brook              Buzzards Bay        1.000000       66.666667             0
69                                     White Pond                  Cape Cod        1.000000       88.888889             3
59                              Unnamed Tributary              Buzzards Bay        1.000000      100.000000             0
124                                 Runnins River  Narragansett Bay (Shore)        1.000000       87.500000             0
107                                   Terry Brook                   Taunton        1.000000      100.000000             0
44                         Bread And Cheese Brook              Buzzards Bay        1.000000      100.000000             0
26                     East Branch Westport River              Buzzards Bay        1.000000      100.000000             0
880                              Atkins Reservoir               Connecticut        0.956522       69.565217             3
254                         Salisbury Plain River                   Taunton        0.941176       76.470588             0
314                                   South River             South Coastal        0.933333       66.666667             0
178                                   Watson Pond                   Taunton        0.933333       46.666667             3
821                                   Ashley Lake                Housatonic        0.928571       53.571429            13
542                            Quinsigamond River                Blackstone        0.928571       91.666667             0
1133                           Strong Water Brook                 Shawsheen        0.923077       69.230769             0
1222                              Shawsheen River                 Shawsheen        0.923077       69.230769             0
636                                   Trout Brook                   Charles        0.916667       70.000000             0
1171                               Baddacook Pond                 Merrimack        0.916667       58.333333             5
316                                  Beaver Brook                   Taunton        0.909091       63.636364             0
1256                                Millers River                   Millers        0.903846       97.872340             0
1291                                  Mason Brook                    Nashua        0.900000      100.000000             0
1093                                 Beaver Brook             North Coastal        0.888889       88.888889             0
183                                  Bungay River                  Ten Mile        0.888889       55.555556             0
1112                               Causeway Brook             North Coastal        0.888889       71.428571             0
